url, ip_address, nameserver
www.googletagmanager.com, 172.217.13.72,
beacon.krxd.net, 184.73.173.12,
fonts.googleapis.com, 172.217.7.138,
px.owneriq.net, 69.192.184.248,
securepubads.g.doubleclick.net, 172.217.15.98 ,
sync.ipredictive.com, 52.3.29.186,
cdn.jsdelivr.net, 151.101.202.109,
cx.atdmt.com, 31.13.66.18,
adservice.google.com, 172.217.164.162,
connect.facebook.net, 31.13.66.19,
trc.taboola.com, 151.101.202.2,
match.taboola.com, 151.101.250.49,
cdn.ampproject.org, 172.217.15.97,
r.nexac.com, 107.23.168.96,
stags.bluekai.com, 23.5.130.129,
t.co, 104.244.42.69, c.r06.twtrdns.net
cm.g.doubleclick.net, 172.217.15.66,
www.imdb.com, 13.225.66.232, ns-1434.awsdns-51.org
image2.pubmatic.com, 162.248.19.147,
pubmatic2waycm-atl.netmng.com, 104.193.83.156,
image4.pubmatic.com, 104.36.115.114,
aa.agkn.com, 63.251.88.56,
bea4.v.fwmrm.net, 54.70.197.249, ashgslb2.fwmrm.net
pmp.mxptint.net, 38.67.14.233,
www.googletagservices.com, 172.217.164.162,
bh.contextweb.com, 151.101.200.166,
a125375509.cdn.optimizely.com, 23.5.135.170,
www.google.com, 172.217.164.164,
sync.mathtag.com, 216.200.232.172,
googleads4.g.doubleclick.net, 172.217.15.66,
ml314.com, 3.210.124.229, ns-1092.awsdns-08.org
img.bleacherreport.net, 151.101.248.64,
ads.yahoo.com, 98.139.225.43,
hbopenbid.pubmatic.com, 162.248.19.149,
ad.doubleclick.net, 172.217.15.102,
odr.mookie1.com, 35.190.90.30,
cvp.twitch.tv, 23.0.210.186,
pixel-sync.sitescout.com, 209.15.36.34, dns2.p03.nsone.net
px.adhigh.net, 64.58.119.36,
pr-bh.ybp.yahoo.com, 72.30.2.182,
us-u.openx.net, 35.244.140.139,
www.ugdturner.com, 52.44.149.191, ns-123.awsdns-15.com
cr-pall.ladsp.com, 13.225.212.104,
a.tribalfusion.com, 184.25.196.95,
geolocation.onetrust.com, 104.20.185.68,
cm.adgrx.com, 173.231.178.116,
c1.adform.net, 185.167.164.55,
logx.optimizely.com, 34.205.132.51,
yt3.ggpht.com, 172.217.164.129,
js-sec.indexww.com, 23.221.203.181,
tpc.googlesyndication.com, 172.217.9.193,
cdn.krxd.net, 151.101.248.175,
cdn.segment.com, 13.226.35.80, ns-1948.awsdns-51.co.uk
cdn.adsafeprotected.com, 13.225.62.105, ns-1323.awsdns-37.org
pm.w55c.net, 34.196.88.181,
events.bouncex.net, 35.190.62.200,
sb.scorecardresearch.com, 23.219.169.166,
image6.pubmatic.com, 162.248.19.151,
spade.twitch.tv, 54.70.215.221,
d23tl967axkois.cloudfront.net, 13.225.63.142, ns-1984.awsdns-56.co.uk 
googleads.g.doubleclick.net, 172.217.164.162,
cookiex.ngd.yahoo.com, 216.155.194.56,
consumer.krxd.net, 151.101.200.175,
pixel.adsafeprotected.com, 199.166.0.26,
pixel.quantserve.com, 192.184.68.253,
static.criteo.net, 74.119.119.131,
token.rubiconproject.com, 208.185.50.80,
z.moatads.com, 23.221.201.161,
tcheck.outbrainimg.com, 23.221.200.45,
ads.playground.xyz, 34.198.50.176,
