www.googletagmanager.com, 172.217.13.72, , googletagmanager.com, MarkMonitor Inc., 2011-11-11 23:39:05, 2019-11-11 23:39:05, None, Google LLC, 15169, , 
beacon.krxd.net, 184.73.173.12, , krxd.net, MarkMonitor Inc., 2010-05-18 21:18:33, 2021-05-18 21:18:33, None, Salesforce.com, 14618, , 
fonts.googleapis.com, 172.217.7.138, , googleapis.com, MarkMonitor Inc., 2005-01-25 17:52:26, 2020-01-25 17:52:26, None, Google LLC, 15169, , 
px.owneriq.net, 69.192.184.248, , owneriq.net, GoDaddy.com, LLC, 2007-10-04 16:47:00, 2019-10-04 16:47:00, None, 16625, , 
securepubads.g.doubleclick.net, 172.217.15.98, , doubleclick.net, MarkMonitor Inc., 1996-01-16 05:00:00, 2020-01-17 05:00:00, None, Google Inc., 15169, , 
sync.ipredictive.com, 52.3.29.186, , ipredictive.com, Gandi SAS, 2010-01-17 01:45:04, 2020-01-17 01:45:04, None, Adelphic, 14618, , 
cdn.jsdelivr.net, 151.101.202.109, , jsdelivr.net, NameCheap, Inc., 2012-05-16 21:35:05, 2021-05-16 21:35:05, None, 54113, , 
cx.atdmt.com, 31.13.66.18, , atdmt.com, RegistrarSEC LLC, 2001-08-17 22:04:28, 2020-08-17 22:04:28, None, Facebook, 32934, , 
adservice.google.com, 172.217.164.162, , google.com, MarkMonitor Inc., 1997-09-15 04:00:00, 2028-09-14 04:00:00, None, Google LLC, 15169, , 
connect.facebook.net, 31.13.66.19, , facebook.net, RegistrarSafe, LLC, 2004-04-01 05:44:24, 2028-04-01 04:44:24, None, 32934, , 
trc.taboola.com, 151.101.202.2, , taboola.com, GoDaddy.com, LLC, 2007-02-23 22:21:41, 2021-02-23 22:21:41, None, 54113, , 
match.taboola.com, 151.101.250.49, , taboola.com, GoDaddy.com, LLC, 2007-02-23 22:21:41, 2021-02-23 22:21:41, None, 54113, , 
cdn.ampproject.org, 172.217.15.97, , ampproject.org, MarkMonitor Inc., 2015-08-31 16:13:25, 2020-08-31 16:13:25, None, Google Inc., 15169, , 
r.nexac.com, 107.23.168.96, , nexac.com, Tucows Domains Inc., 2006-10-31 00:14:41, 2019-10-30 23:14:41, None, REDACTED FOR PRIVACY, 14618, , 
stags.bluekai.com, 23.5.130.129, , bluekai.com, Tucows Domains Inc., 2007-07-06 06:09:58, 2020-07-06 06:09:58, None, REDACTED FOR PRIVACY, 16625, , 
t.co, 104.244.42.69, c.r06.twtrdns.net, t.co, , None, None, None, Twitter, 13414, , 
cm.g.doubleclick.net, 172.217.15.66, , doubleclick.net, MarkMonitor Inc., 1996-01-16 05:00:00, 2020-01-17 05:00:00, None, Google Inc., 15169, , 
www.imdb.com, 13.225.66.232, ns-1434.awsdns-51.org, imdb.com, MarkMonitor Inc., 1996-01-05 05:00:00, 2024-01-04 05:00:00, None, IMDb.com, 16509, , 
image2.pubmatic.com, 162.248.19.147, , pubmatic.com, GoDaddy.com, LLC, 2006-12-29 02:10:07, 2020-09-08 11:59:59, None, 
pubmatic2waycm-atl.netmng.com, 104.193.83.156, , netmng.com, GoDaddy.com, LLC, 2008-12-08 15:14:55, 2019-12-08 15:14:55, None, 
image4.pubmatic.com, 104.36.115.114, , pubmatic.com, GoDaddy.com, LLC, 2006-12-29 02:10:07, 2020-09-08 11:59:59, None, 62713, , 
aa.agkn.com, 63.251.88.56, , agkn.com, GoDaddy.com, LLC, 2005-06-09 22:54:35, 2020-09-02 03:59:59, None, 
bea4.v.fwmrm.net, 54.70.197.249, ashgslb2.fwmrm.net, fwmrm.net, Register.com, Inc., 2007-11-13 19:21:54, 2021-11-13 19:21:54, None, 
pmp.mxptint.net, 38.67.14.233, , mxptint.net, GoDaddy.com, LLC, 2007-07-30 02:24:08, 2021-12-02 04:59:59, None, 
www.googletagservices.com, 172.217.164.162, , googletagservices.com, MarkMonitor Inc., 2008-12-17 16:23:09, 2019-12-17 16:23:09, None, Google Inc., 15169, , 
bh.contextweb.com, 151.101.200.166, , contextweb.com, Network Solutions, LLC, 2000-03-16 19:26:42, 2020-03-16 18:26:42, None, 
a125375509.cdn.optimizely.com, 23.5.135.170, , optimizely.com, GoDaddy.com, LLC, 2010-01-11 03:01:32, 2020-01-11 03:01:32, None, 
www.google.com, 172.217.164.164, , google.com, MarkMonitor Inc., 1997-09-15 04:00:00, 2028-09-14 04:00:00, None, Google LLC, 
sync.mathtag.com, 216.200.232.172, , mathtag.com, Tucows Domains Inc., 2007-12-13 20:23:30, 2019-12-13 20:23:30, None, Contact Privacy Inc. Customer 0140394076, 
googleads4.g.doubleclick.net, 172.217.15.66, , doubleclick.net, MarkMonitor Inc., 1996-01-16 05:00:00, 2020-01-17 05:00:00, None, Google Inc., 15169, , 
ml314.com, 3.210.124.229, ns-1092.awsdns-08.org, ml314.com, Gandi SAS, 2013-04-22 16:23:21, 2027-04-22 16:23:21, None, , 
img.bleacherreport.net, 151.101.248.64, , bleacherreport.net, CSC Corporate Domains, Inc., 2008-03-10 16:44:38, 2020-03-10 16:44:38, None, 
ads.yahoo.com, 98.139.225.43, , yahoo.com, MarkMonitor Inc., 1995-01-18 05:00:00, 2023-01-19 05:00:00, None, Oath Inc., 
hbopenbid.pubmatic.com, 162.248.19.149, , pubmatic.com, GoDaddy.com, LLC, 2006-12-29 02:10:07, 2020-09-08 11:59:59, None, 
ad.doubleclick.net, 172.217.15.102, , doubleclick.net, MarkMonitor Inc., 1996-01-16 05:00:00, 2020-01-17 05:00:00, None, Google Inc., 
odr.mookie1.com, 35.190.90.30, , mookie1.com, CSC Corporate Domains, Inc., 2008-04-18 16:44:19, 2020-04-18 16:44:19, None, 15169, , 
cvp.twitch.tv, 23.0.210.186, , 
pixel-sync.sitescout.com, 209.15.36.34, dns2.p03.nsone.net, sitescout.com, Network Solutions, LLC, 2000-05-12 20:23:01, 2020-05-12 20:23:01, None, 
px.adhigh.net, 64.58.119.36, , adhigh.net, NameCheap, Inc., 2012-10-15 21:08:20, 2024-10-15 21:08:20, None, 
pr-bh.ybp.yahoo.com, 72.30.2.182, , yahoo.com, MarkMonitor Inc., 1995-01-18 05:00:00, 2023-01-19 05:00:00, None, Oath Inc., 
us-u.openx.net, 35.244.140.139, , openx.net, Tucows Domains Inc., 1996-11-09 05:00:00, 2019-11-08 05:00:00, None, REDACTED FOR PRIVACY, 
www.ugdturner.com, 52.44.149.191, ns-123.awsdns-15.com, ugdturner.com, CSC Corporate Domains, Inc., 2011-05-03 19:24:10, 2020-05-03 19:24:10, None, 14618, , 
cr-pall.ladsp.com, 13.225.212.104, , ladsp.com, GMO Internet, Inc. d/b/a Onamae.com, 2011-08-12 01:25:28, 2020-08-12 01:25:28, None, 
a.tribalfusion.com, 184.25.196.95, , tribalfusion.com, Network Solutions, LLC, 1998-09-11 04:00:00, 2029-09-10 04:00:00, None, 
geolocation.onetrust.com, 104.20.185.68, , onetrust.com, NameCheap, Inc., 2004-01-12 19:08:04, 2020-01-12 19:08:04, None, 
cm.adgrx.com, 173.231.178.116, , adgrx.com, GoDaddy.com, LLC, 2011-10-06 22:04:52, 2020-10-06 22:04:52, None, 29791, , 
c1.adform.net, 185.167.164.55, , adform.net, DNC Holdings, Inc., 2002-09-23 13:54:22, 2023-09-23 13:54:27, None, 198622, , 
logx.optimizely.com, 34.205.132.51, , optimizely.com, GoDaddy.com, LLC, 2010-01-11 03:01:32, 2020-01-11 03:01:32, None, 14618, , 
yt3.ggpht.com, 172.217.164.129, , ggpht.com, MarkMonitor Inc., 2008-01-16 18:55:33, 2020-01-16 18:55:33, None, Google LLC, 15169, , 
js-sec.indexww.com, 23.221.203.181, , indexww.com, GoDaddy.com, LLC, 2013-03-28 21:07:45, 2020-03-28 21:07:45, None, 16625, , 
tpc.googlesyndication.com, 172.217.9.193, , googlesyndication.com, MarkMonitor Inc., 2003-01-21 06:17:24, 2020-01-21 06:17:23, None, Google LLC, 15169, , 
cdn.krxd.net, 151.101.248.175, , krxd.net, MarkMonitor Inc., 2010-05-18 21:18:33, 2021-05-18 21:18:33, None, Salesforce.com, 54113, , 
cdn.segment.com, 13.226.35.80, ns-1948.awsdns-51.co.uk, segment.com, GoDaddy.com, LLC, 1998-07-06 04:00:00, 2025-07-05 04:00:00, None, 16509, , 
cdn.adsafeprotected.com, 13.225.62.105, ns-1323.awsdns-37.org, 16509, , 
pm.w55c.net, 34.196.88.181, , w55c.net, NameCheap, Inc., 2009-05-13 21:08:06, 2026-05-13 21:08:06, None, 14618, , 
events.bouncex.net, 35.190.62.200, , bouncex.net, Tucows Domains Inc., 2017-05-05 16:10:40, 2020-05-05 16:10:40, None, Contact Privacy Inc. Customer 0148182090, 15169, , 
sb.scorecardresearch.com, 23.219.169.166, , scorecardresearch.com, MarkMonitor Inc., 2007-11-01 18:07:51, 2019-11-01 18:07:51, None, TMRG, 16625, , 
image6.pubmatic.com, 162.248.19.151, , pubmatic.com, GoDaddy.com, LLC, 2006-12-29 02:10:07, 2020-09-08 11:59:59, None, 62713, , 
spade.twitch.tv, 54.70.215.221, , twitch.tv, MarkMonitor Inc., 2009-06-08 22:31:23, 2024-06-08 22:31:23, 2019-05-07 23:07:14, , 
d23tl967axkois.cloudfront.net, 13.225.63.142, ns-1984.awsdns-56.co.uk, cloudfront.net, MarkMonitor Inc., 2008-04-25 18:25:49, 2024-04-25 18:25:49, None, Amazon.com, 
googleads.g.doubleclick.net, 172.217.164.162, , doubleclick.net, MarkMonitor Inc., 1996-01-16 05:00:00, 2020-01-17 05:00:00, None, Google Inc., 15169, , 
