www.googletagmanager.com, 172.217.13.72  
beacon.krxd.net, 23.21.212.198  
fonts.googleapis.com, 172.217.164.170  
px.owneriq.net, 23.3.172.176  
securepubads.g.doubleclick.net, 172.217.13.226  
sync.ipredictive.com, 34.236.208.117  
cdn.jsdelivr.net, 151.101.202.109  
cx.atdmt.com, 31.13.66.18  
adservice.google.com, 172.217.13.226  
connect.facebook.net, 31.13.66.19  
trc.taboola.com, 151.101.202.2  
match.taboola.com, 151.101.202.49  
cdn.ampproject.org, 172.217.13.65  
r.nexac.com, 18.205.80.30  
stags.bluekai.com, 23.5.130.129  
t.co, 104.244.42.133  
cm.g.doubleclick.net, 172.217.13.66  
www.imdb.com, 13.225.66.232  
image2.pubmatic.com, 162.248.19.147  
pubmatic2waycm-atl.netmng.com, 104.193.83.156  
image4.pubmatic.com, 104.36.115.114  
aa.agkn.com, 63.251.88.56  
bea4.v.fwmrm.net, 63.251.28.140  
pmp.mxptint.net, 4.78.226.233  
www.googletagservices.com, 172.217.13.226  
bh.contextweb.com, 151.101.200.166  
a125375509.cdn.optimizely.com, 23.5.135.170  
www.google.com, 172.217.15.68  
sync.mathtag.com, 216.200.232.114  
googleads4.g.doubleclick.net, 172.217.13.66  
ml314.com, 3.221.9.97  
img.bleacherreport.net, 151.101.200.64  
ads.yahoo.com, 72.30.3.43  
hbopenbid.pubmatic.com, 104.36.115.111  
ad.doubleclick.net, 172.217.7.198  
odr.mookie1.com, 35.190.90.30  
cvp.twitch.tv, 23.0.210.186  
pixel-sync.sitescout.com, 209.15.36.36  
px.adhigh.net, 64.58.119.36  
pr-bh.ybp.yahoo.com, 72.30.2.182  
us-u.openx.net, 35.244.186.129  
www.ugdturner.com, 34.192.12.32  
cr-pall.ladsp.com, 13.226.38.23  
a.tribalfusion.com, 184.25.196.95  
geolocation.onetrust.com, 104.20.184.68  
cm.adgrx.com, 173.231.178.116  
c1.adform.net, 185.167.164.37  
logx.optimizely.com, 34.236.55.133  
yt3.ggpht.com, 172.217.7.161  
js-sec.indexww.com, 184.24.105.200  
tpc.googlesyndication.com, 172.217.5.225  
cdn.krxd.net, 151.101.200.175  
cdn.segment.com, 13.226.35.80  
cdn.adsafeprotected.com, 13.225.212.41  
pm.w55c.net, 34.196.88.181  
events.bouncex.net, 35.190.62.200  
sb.scorecardresearch.com, 184.24.104.122  
image6.pubmatic.com, 104.36.115.113  
spade.twitch.tv, 54.201.25.216  
d23tl967axkois.cloudfront.net, 13.225.209.92  
googleads.g.doubleclick.net, 172.217.13.226  
cookiex.ngd.yahoo.com, 98.139.225.43  
consumer.krxd.net, 151.101.248.175  
pixel.adsafeprotected.com, 199.166.0.26  
pixel.quantserve.com, 192.184.68.235  
static.criteo.net, 74.119.119.131  
token.rubiconproject.com, 208.185.50.90  
z.moatads.com, 184.25.188.199  
tcheck.outbrainimg.com, 184.25.188.250  
ads.playground.xyz, 34.198.50.176  
b1sync.zemanta.com, 70.42.32.95  
amplify.outbrain.com, 184.25.188.97  
mcdp-nydc1.outbrain.com, 70.42.32.95  
idsync.rlcdn.com, 35.190.72.21  
assets.bounceexchange.com, 34.98.72.95  
analytics.twitter.com, 104.244.42.131  
c.bing.com, 204.79.197.200  
api.rlcdn.com, 35.190.72.21  
sync-tm.everesttech.net, 151.101.250.49  
ad.turn.com, 50.116.194.21  
dt.scanscout.com, 67.226.210.12  
cdnjs.cloudflare.com, 104.19.196.151  
rtb.adentifi.com, 34.230.161.48  
d2in0p32vp1pij.cloudfront.net, 13.226.36.157  
pixel.tapad.com, 107.178.246.49  
sync.outbrain.com, 151.101.202.2  
ps.eyeota.net, 100.26.60.246  
m.adnxs.com, 204.13.192.120  
video-weaver.iad03.hls.ttvnw.net, 52.223.241.5  
dis.criteo.com, 74.119.119.150  
widgets.tree.com, 104.18.253.222  
ads.pubmatic.com, 184.24.105.118  
img.macromill.com, 13.226.38.125  
s0.2mdn.net, 172.217.164.166  
